date,opening,Enough,Day high,Day low,volume
2/26/2020,"12,800","12,900","12,900","12,800",-
2/25/2020,"13,000","12,900","13,500","12,900",35
24-Feb-20,"13,300","13,200","13,300","13,100",-
2/21/2020,"13,400","13,300","13,400","13,300",-
2/20/2020,"13,300","13,200","13,300","13,200",-
2/19/2020,"13,500","13,400","13,500","13,400",-
2/18/2020,"13,600","13,500","13,600","13,500",-
2/17/2020,"13,800","13,800","13,800","13,800",-
2/14/2020,14.2,14.2,14.2,14.2,-
2/13/2020,"14,400","14,400","14,400",14.3,-
2/12/2020,"14,400","14,500","14,500","14,400",-
2/11/2020,"14,600","14,600","14,600","14,600",-
2/10/2020,"14,500","14,600","14,600","14,500",-
2/7/2020,"14,400","14,400","14,400","14,400",-
2/6/2020,14.3,"14,100",14.3,"14,100",-
2/5/2020,"13,800","13,900","13,900","13,800",-
2/4/2020,"13,500","13,600","13,600","13,500",-
2/3/2020,"13,400","13,400","13,500","13,400",-
31-Jan-20,"13,500","13,400","13,500","13,400",-
1/30/2020,"13,500","13,400","13,500","13,400",-
1/29/2020,"13,600","13,600","13,600","13,600",-
1/28/2020,"13,500","13,500","13,500","13,500",-
1/27/2020,"13,500","13,500","13,500","13,400",-
1/24/2020,"13,800","13,700","13,800","13,700",-
1/23/2020,"14,000","14,000","14,000","14,000",-
1/22/2020,"14,000","14,000","14,000","14,000",-
1/21/2020,"13,900","14,000","14,000","13,900",-
1/20/2020,"14,000","14,000","14,000","14,000",-
17-Jan-20,"13,800","13,800","13,900","13,800",-
16-Jan-20,"13,800","13,900","13,900","13,800",-
15-Jan-20,"14,000","14,000","14,000","14,000",-
1/14/2020,"14,000","14,000","14,000","14,000",-
1/13/2020,"14,100","14,100","14,100","14,100",-
1/10/2020,14.2,"14,100",14.2,"14,100",-
1/9/2020,"14,100","14,100","14,100","14,100",-
1/8/2020,"14,000","14,000","14,000","14,000",-
7/1/2020,14.3,"14,400","14,400",14.3,-
1/6/2020,14.3,14.2,14.3,14.2,-
3/1/2020,"14,700","14,700","14,700","14,700",-
2/1/2020,"14,600","14,600","14,600","14,500",-
12/30/2019,"14,500","14,500","14,500","14,500",-
27-Dec-19,14.724,"14,660",14.724,"14,660",-
23-Dec-19,"14,982","14,980",14.986,"14,980",-
20-Dec-19,14.948,14.964,14.964,"14,936",-
19-Dec-19,14.836,"14,894","14,894",14.834,-
18-Dec-19,"14,920","14,922","14,922",14.916,-
17-Dec-19,"14,962",14.972,14.972,"14,962",-
16-Dec-19,"14,932","14,894","14,932","14,894",-
12/13/2019,"14,928",15.026,15.026,14.916,-
12/12/2019,"14,584","14,526","14,592","14,526",-
11-Dec-19,14.762,14.762,14.772,14.762,-
10-Dec-19,14.818,14.772,14.818,14.772,-
9-Dec-19,14.886,"14,870","14,898","14,870",-
6-Dec-19,"14,570",14.638,14.638,"14,570",-
05.12.2019,"14,544","14,532","14,544","14,516",-
4/12/2019,"14,436",14.386,"14,440",14.386,-
3-Dec-19,"14,426","14,496",14.504,"14,426",-
02.12.2019,14.226,"14,220",14.23,14.206,-
11/29/2019,14.27,14.266,14.27,14.266,-
11/28/2019,14.344,14.34,14.35,14.34,-
11/27/2019,"14,412",14.404,"14,420",14.404,-
11/26/2019,"14,426",14.402,"14,426",14.402,-
11/25/2019,14.364,14.376,14.384,14.358,-
11/22/2019,14.126,"14,170","14,172",14.122,-
11/21/2019,"13,952","13,958","13,962","13,934",-
11/20/2019,14.124,14.116,14.148,14.102,-
19-Nov-19,14.628,14.648,14.648,14.622,-
11/18/2019,14.666,14.666,14.678,14.632,-
11/15/2019,15.008,"14,942",15.018,"14,942",-
11/14/2019,14.792,"15,566","15,566",14.784,7th
11/13/2019,"14,970",15.022,15.026,"14,970",-
