X,Y
11.636,11.6353
11.625,11.625
11.6447,11.6885
11.7113,11.6973
11.5953,11.5953
11.6257,11.6257
11.593,11.593
11.5085,11.5288
11.5317,11.5317
11.4318,11.4318
11.4452,11.4452
11.3405,11.3405
11.4345,11.4345
11.4345,11.4345
11.1453,11.1453
11.2815,11.2815
11.3465,11.4
11.459,11.459
11.3255,11.3175
11.2583,11.2583
11.188,11.188
11.0795,11.0795
10.9722,10.9722
11.3632,11.3632
11.1355,11.1355
10.692,10.692
10.9955,10.9955
11.071,11.071
11.097,11.097
10.8325,10.8325
10.864,10.864
10.9607,10.9607
10.8033,10.8033
10.6337,10.6805
10.8062,10.8062
10.7098,10.7098
10.683,10.683
10.5122,10.5122
10.3282,10.3282
10.2395,10.2395
10.4047,10.4047
10.4085,10.4085
10.471,10.471
10.4563,10.4563
10.5218,10.5218
10.495,10.495
10.42,10.4412
11.1777,11.1685
10.8743,10.8743
11.0347,11.1035
11.1035,11.1035
11.5885,11.5885
11.533,11.533
11.3947,11.3947
11.3785,11.3752
11.9625,11.3665
11.6517,11.6517
11.1993,11.2542
11.679,11.679
11.7828,11.7828
11.853,11.853
11.8232,11.8232
11.6475,11.6475
11.6932,11.7225
11.6217,11.6683
11.6645,11.661
11.482,11.4132
11.3767,11.475
11.6438,11.7247
11.6205,11.6205
11.6205,11.6205
11.9388,11.9388
11.9727,11.9727
11.9757,12.0033
11.8,11.8
12.3413,12.3413
12.2485,12.2485
12.2513,12.2513
12.1075,12.1075
11.9285,11.9285
11.853,11.853
11.7933,11.7933
12.1318,12.1318
12.1425,12.1425
12.473,12.473
12.623,12.623
12.8162,12.8328
12.8212,12.7963
12.9015,12.9015
12.847,12.847
13.0405,13.0405
13.4558,13.4558
13.8505,13.8505
13.6943,13.6943
14.1973,14.2203
13.9867,13.9867
13.6768,13.6768
13.8798,13.8798
14.1512,14.1512
14.139,14.139
14.0275,14.0275
14.398,14.398
14.5887,14.6765
14.8883,14.8883
14.8915,14.8915
14.8448,14.7052
14.7095,14.7095
14.1908,14.1982
14.2887,14.3228
14.3415,14.9875
14.2465,14.2465
14.2825,14.2825
14.9747,14.9747
14.5,14.25
14.625,14.625
14.5,14.5
14.625,14.625
14.625,14.625
14.5,14.5
14.125,14.125
13.5,13.5
13.5,13.5
13.125,13.125
13.125,12.875
13,13
13.25,13.25
13.375,13.375
13.5,13.5
13.75,13.75
13.5,13.5
13.625,13.625
13.75,13.75
13.5175,13.5175
13.2075,13.2075
13.5425,13.4475
13.74,13.74
13.7425,13.7425
12.9875,13.2
12.99,12.99
13.47,14.25
13.24,13.12
13.2725,13.2725
13.42,13.42
13.655,13.655
13.8775,13.8775
14.0575,14.0575
14.565,14.575
14.565,14.565
14.88,14.88
14.815,14.7275
14.7175,14.77
15.0225,14.9875
15.195,15.225
15.21,15.1475
15.27,15.2325
14.71,14.7625
15.175,15.175
15.3475,15.3475
15.3375,15.3375
15.315,15.315
15.1975,15.1975
15.4425,15.4425
15.5,15.5
15.535,15.4625
15.9325,15.9325
16.030001,16.047501
16.127501,16.127501
15.95,15.95
16.022499,16.022499
16.172501,16.030001
15.6225,15.6225
15.7525,15.7525
15.8725,15.9175
15.9725,15.9725
16.5,16.5
16.922501,16.9025
16.9025,16.9025
17.225,17.225
17.7425,17.7425
18.122499,18.122499
17.2425,17.2425
16.49,16.49
17.192499,17.192499
16.955,16.955
17.469999,17.469999
18.120001,18.120001
18.584999,18.584999
18.3675,18.3675
18.5525,18.5525
18.7425,18.7425
19.254999,19.254999
19.2325,19.2325
19.370001,19.370001
19.834999,19.834999
19.545,19.545
